claim_id,claim,preferred_source,url,access_date,status,exact_field_or_evidence,caveat
RT-VLLM-002,CMakeLists arch gates confirm INT8 sources exist only for SM90 and older,vLLM source,https://github.com/vllm-project/vllm/blob/main/CMakeLists.txt,2026-08-11,verified,SCALED_MM_SM90_SRCS includes c3x/scaled_mm_sm90_int8.cu and c3x/scaled_mm_azp_sm90_int8.cu; SCALED_MM_SM100_SRCS and SCALED_MM_SM120_SRCS contain fp8 sources only; the legacy c2x gate is cuda_archs_loose_intersection(SCALED_MM_2X_ARCHS '7.5;8.0;8.7;8.9+PTX'),Both the c3x and the legacy c2x CUTLASS paths exclude sm_100. 10.3a (B300) appears in the SM100 arch list but only for fp8
RT-VLLM-003,"The INT8 failure occurs at first forward pass, not at model load",vLLM source,https://github.com/vllm-project/vllm/blob/main/vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_int8.py,2026-08-11,verified,"get_min_capability() returns 75 ('# turing and up'); CutlassInt8ScaledMMLinearKernel.can_implement() returns 'True, None' unconditionally and is first in _POSSIBLE_INT8_KERNELS[CUDA]","Practical consequence: on B300 the model downloads and loads fully before failing. Test Gate 1 with a 1B model, never a large one"
RT-VLLM-004,VLLM_DISABLED_KERNELS can reroute INT8 to the Triton backend without a code patch (measured),vLLM source + own measurement,https://github.com/vllm-project/vllm/blob/main/vllm/model_executor/kernels/linear/__init__.py,2026-08-11,verified,"is_supported_and_can_implement_kernel() skips any kernel whose __name__ is in envs.VLLM_DISABLED_KERNELS. Measured on RTX 4090 sm_89, image vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967 (vLLM 0.27.1): default -> 'Selected CutlassInt8ScaledMMLinearKernel'; with the env var -> 'Selected TritonInt8ScaledMMLinearKernel'; both disabled -> 'Selected HummingInt8ScaledMMLinearKernel'. All three produced identical output text",This is why Gate 1 is CONDITIONAL not NO-GO. Whether Triton emits real IMMA on sm_103 is still unverified and needs a B300 plus Nsight Compute
RT-VLLM-005,The Triton INT8 backend carries a measurable performance penalty that is NOT a hardware effect,own measurement,reproducibility/dry_run_2026-08-11.md,2026-08-11,verified,"RTX 4090 sm_89, 2048 output tokens, 7 repeats, median: Cutlass INT8 1194.7 tok/s; Humming INT8 1180.7; Triton INT8 1015.7 (0.850x of Cutlass); FP8 1142.2","MUST be controlled for. Any B300 INT8 number obtained via the Triton path inherits this kernel-quality penalty. Measure the Cutlass-vs-Triton delta across the full grid on H200 (where both work) to build a correction. The 15% is workload-specific (1B, decode-bound) and is expected to be larger in compute-bound prefill"
RT-VLLM-006,Triton INT8 needs longer warmup than other backends (JIT outlier),own measurement,reproducibility/dry_run_2026-08-11.md,2026-08-11,verified,Triton INT8 repeat spread min 1.9883s vs max 3.4979s; other backends spread under 0.05s,"Harness must extend warmup for Triton and log autotune state, or low-repeat measurements will be systematically contaminated"
RT-SGLANG-001,SGLang native B300 W8A8 INT8 full-model support,SGLang,https://github.com/sgl-project/sglang/blob/main/docs/advanced_features/quantization.md,2026-08-11,reverify,identify commit issue and tested recipe,generic w8a8_int8 listing is not B300 proof
RT-REPRO-001,vllm/vllm-openai:latest is not reproducible and must be pinned by digest,own measurement,reproducibility/dry_run_2026-08-11.md,2026-08-11,verified,"Within one session :latest moved from sha256:6d8429e38e37 (vLLM 0.23.0, torch 2.11.0+cu130, 2 INT8 backends) to sha256:0a51ea5b4ae2 (vLLM 0.27.1, torch 2.13.0+cu130, 3 INT8 backends)",Add to Gate 0: every docker run must use image@sha256:... Otherwise a version difference between the two nodes or two time blocks will be misread as a hardware effect
MODEL-QWEN-001,"Qwen/Qwen3.6-27B EXISTS but is a multimodal VLM, not a dense text LLM; recommend Qwen/Qwen3-32B for the main matrix",Qwen,https://huggingface.co/api/models/Qwen/Qwen3.6-27B,2026-08-11,verified,"HF API 2026-08-11: id Qwen/Qwen3.6-27B, sha 6a9e13bd6fc8f0983b9b99948120bc37f49c13e9, safetensors.total 27781427952 {BF16}, gated False, pipeline_tag image-text-to-text, architectures ['Qwen3_5ForConditionalGeneration']. Replacement Qwen/Qwen3-32B: sha 9216db5781bf21249d130ec9da846c4624c16137, architectures ['Qwen3ForCausalLM'], pipeline_tag text-generation, safetensors.total 32762123264, gated False","CORRECTS an earlier wrong verdict of mine that this repo did not exist; that was inferred from a search listing instead of the model endpoint. The real disqualifier is multimodality: a VLM parent injects a vision tower and architectural domain shift, while the predictor must validate on uniform-full-attention Llama 405B. Lesson: never infer repo non-existence from search results"
MODEL-LLAMA-001,Llama 3.1 405B BF16 parameter/checkpoint size and license,Meta,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,2026-08-11,reverify,save model card revision and shard sizes,raw 2-byte estimate excludes runtime overhead
MODEL-LLAMA-002,Official Llama 405B FP8/NVFP4 checkpoints,NVIDIA,https://huggingface.co/nvidia/Llama-3.1-405B-Instruct-FP8,2026-08-11,reverify,save FP8 and NVFP4 model card revisions,vendor recipes are not matched causal quantization
MODEL-DEEPSEEK-001,DeepSeek-V4-Flash architecture format license and 4P+4D feasibility,DeepSeek/vLLM,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731,2026-08-11,reverify,save official model card and serving recipe,external-validity only if native mixed precision
MODEL-TESTFIXTURE-001,A verified small INT8 W8A8 fixture exists for Gate-1 rehearsal,RedHatAI,https://huggingface.co/RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,2026-08-11,verified,"config.json quantization_config: format 'int-quantized', quant_method 'compressed-tensors'; weights num_bits 8 type int strategy channel symmetric true; input_activations num_bits 8 type int strategy token dynamic true; ignore ['lm_head']","Use this 1B fixture to test Gate 1 on B300 before downloading any large checkpoint, because the INT8 failure only surfaces at first forward"
COST-VAST-001,8xH200 node-hour offer,Vast.ai,https://vast.ai/pricing/gpu/H200,2026-08-11,dynamic,save offer screenshot ID and topology,current budget uses directional estimate not a quote
COST-VAST-002,8xB300 node-hour offer,Vast.ai,https://vast.ai/pricing/gpu/B300,2026-08-11,dynamic,save offer screenshot ID max duration and topology,price and availability change
COST-PLAN-001,"Gate 1 needs one B300 GPU, not an 8-GPU node",own analysis,reproducibility/dry_run_2026-08-11.md,2026-08-11,verified,Gate 1 is a single-GPU kernel-dispatch and instruction-mix question; NVLink/TP/405B/4P+4D are the only things that require 8 GPUs,Reduces the pilot cost by roughly an order of magnitude versus the planned 4h+4h 8-GPU pilot
PUB-TMLR-001,TMLR acceptance criteria and arXiv policy,TMLR,https://jmlr.org/tmlr/author-guide.html,2026-08-11,reverify,record relevant policy text and date,policies may change
NOVELTY-001,All 15 arXiv IDs cited in the planning materials resolve; none is fabricated,arXiv API,http://export.arxiv.org/api/query,2026-08-11,verified,"15/15 resolve over HTTPS with 1 entry each. Negative controls 2612.99999, 2699.12345, 2606.99999, 2611.05555, 2402.99999 all returned HTTP 404 and 0 entries, proving the endpoint discriminates","METHOD WARNING: http://export.arxiv.org returns 301 and curl without -L yields zero bytes, which falsely looks like wholesale fabrication. Always use HTTPS and retry per-ID"
NOVELTY-002,The INT8-reduction premise has a citable peer source,arXiv,https://arxiv.org/abs/2603.10634,2026-08-11,verified,"Verbatim: 'In several recent architectures, such as NVIDIA Blackwell Ultra and NVIDIA Rubin, INT8 performance has been reduced, making reliance on INT8 alone insufficient.'",NOT currently listed in references/primary_sources.md despite the draft relying on this claim. Citation gap to fix
NOVELTY-003,B300 serving has already been measured and published; 'first B300 measurement' is not claimable,arXiv,https://arxiv.org/abs/2606.23969,2026-08-11,verified,'The Serialized Bridge: Understanding and Recovering LLM Serving Performance under Blackwell GPU Confidential Computing' measures B300 HGX and RTX Pro 6000 directly,Already flagged as non-claimable in the plan; now confirmed with a specific prior paper
NOVELTY-004,Matsuoka's FP8/FP64 preprint corroborates the B300 INT8 cut but contains a B200 error that must not be inherited,arXiv,https://arxiv.org/abs/2606.06510,2026-08-11,verified,"Sec 6.2 verbatim: 'which is precisely the choice NVIDIA made on B300, cutting int8 to ~165 TOPS while scaling fp8 to 5 PFLOPS.' However its Table 2/Table 5 list B200 INT8 dense as ~155 TOPS, wrong by ~29x (official B200 dense INT8 = 4,500 TOPS)","Single-author arXiv preprint, not peer reviewed. Cite for FP64 and for B300 only; never cite its B200 figure. Its framing that INT8 fell 'relative to Hopper' is false for Blackwell and true only for Blackwell Ultra"
NOVELTY-005,No independent third-party measurement of B300 INT8 exists,arXiv,https://arxiv.org/html/2512.02189v3,2026-08-11,verified,'Microbenchmarking NVIDIA's Blackwell Architecture' Table VII measures B200 INT8 3928.5 vs FP8 3850.6 and H200 3088.4 vs FP8 3026.9 (INT8 approx equal to FP8 on both). 'B300' and 'Blackwell Ultra' appear zero times in it,Every B300 INT8 number in existence traces to NVIDIA collateral. This is an opening for the paper AND a reason to hedge: write '~30x' not '30.3x'
NOVELTY-006,Six cited arXiv IDs are not referenced anywhere in the current draft,own audit,references/primary_sources.md,2026-08-11,verified,"Uncited: 2504.19720, 2601.21351, 2603.10634, 2606.00516, 2606.06510, 2608.04502. Only nine appear, all in primary_sources.md lines 56-65","The two most load-bearing sources (2603.10634 INT8 reduction, 2606.06510 FP64) are missing from primary_sources.md. Add them"
RT-CUTLASS-001,CUTLASS supports SM100 INT8 but SKIPS INT8 UMMA generation for any build targeting 103a (B300); the only SM103 generator is FP4,CUTLASS source,https://github.com/NVIDIA/cutlass/blob/main/media/docs/cpp/blackwell_functionality.md,2026-08-11,verified,"At commit dcf215a: line 5 verbatim 'Blackwell SM100 introduces tcgen05.mma instructions. tcgen05.mma instructions support all legacy types (tfloat32_t, half_t, bfloat16_t, int8_t, uint8_t)'; functionality table rows 82-83 'Dense | int8_t | int8_t | TN, NN, NT, TT | 16 | 16 | i8' with unit test sm100_tensorop_gemm/s8_s8_void_s32.cu; rows 87-88 sparse int8 with IMMA unit test; include/cute/atom/mma_traits_sm100.hpp has 37 S8/int8 references | HOWEVER, verified directly in python/cutlass_library/generator.py GenerateSM100(): arch_family_cc = ['100f','101f','103a'] and GenerateSM100_TensorOp_int8_UMMA_gemm is called only `if not bool(set(manifest.compute_capabilities_feature_set).intersection(arch_family_cc))`, with the same exclusion on the sparse variant, while GenerateSM100_TensorOp_fp8_UMMA_gemm is unconditional. The only SM103 generator in the file is GenerateSM103_TensorOp_fp4_ultra_UMMA_gemm_with_block_scaled; count of GenerateSM103 generators matching int8|s8|i8 is 0","SUPERSEDES my earlier framing that CUTLASS 'fully supports' Blackwell INT8. True for SM100, FALSE for SM103/B300. Separate SM100 from SM103 in the paper; never write 'Blackwell' for either. Consistent with RT-PTX-001, which explains why"
RT-SGLANG-002,"SGLang INT8 GEMM also stops at Sm90, while its FP8 tuned configs already cover B200",SGLang source,https://github.com/sgl-project/sglang/blob/main/python/sglang/kernels/aot/csrc/gemm/int8_gemm_kernel.cu,2026-08-11,verified,"At commit b20c375: arch tags in int8_gemm_kernel.cu are Sm75 x1, Sm80 x6, Sm90 x11 with no Sm100/Sm103/Sm120; all dispatch entries are cutlass_int8_scaled_mm_sm90 / sm90_dispatch_bias / sm90_dispatch_shape. Tuned configs in python/sglang/kernels/ops/quantization/configs/: int8_w8a8 covers only A100-SXM4-80GB, A800-SXM4-80GB, H20; fp8 covers NVIDIA_B200, H100_80GB_HBM3, H200, H20, L20Y, L40, AMD MI300X, MI325X",Independent replication of RT-VLLM-001 in a second framework. The tuned-config asymmetry is a within-repo natural control on maintainer investment per format per architecture. CONSEQUENCE: the planned second-backend robustness arm is infeasible for INT8 on B300 and can only cover FP8/NVFP4
RT-PTX-001,"PTX ISA does not expose 5th-gen tensor-core integer MMA (tcgen05.mma .kind::i8) on sm_103a (B300), while it DID extend FP4 kinds to sm_103a",NVIDIA PTX ISA,https://docs.nvidia.com/cuda/parallel-thread-execution/index.html,2026-08-11,verified,Fetched full document 2026-08-11 and matched verbatim: 'Qualifier .kind::i8 is supported on following architectures: sm_100a sm_101a (Renamed to sm_110a from PTX ISA version 9.0) sm_110a' -- sm_103a ABSENT. Family-specific support carves it out: 'And is supported on following family-specific architectures from PTX ISA version 8.8 except .kind::i8 : sm_100f or higher in the same family ...' (the phrase 'except .kind::i8' occurs 4 times). Version-history table: 'tcgen05.mma Base variant 8.6 sm_100a 8.8 sm_100f 9.0 sm_110f | Kind .kind::i8 8.6 sm_100a 9.0 sm_110a'. CONTROL within the same instruction family: 'Kind .kind::mxf4nvf4 and .kind::mxf4 8.6 sm_100a 8.8 sm_103a 9.0 sm_110a'; 'K shape value 96 8.8 sm_103a'; 'tcgen05.shift Base variant 8.6 sm_100a 8.8 sm_103a 9.0 sm_110a',"STRONGEST finding so far and it is S1. NVIDIA extended mxf4/mxf4nvf4, tcgen05.shift and K-shape 96 to sm_103a in PTX 8.8 but never extended .kind::i8. So the software gap is not a framework choice - the 5th-gen integer MMA was never exposed at the ISA level on Blackwell Ultra, and the stack above had no option. Provides the MECHANISM for the 30x spec ratio: FP8 gets tcgen05, INT8 is left on legacy warp-level IMMA"
GATE1-PROFILER-001,The planned Gate-1 profiler criterion produces a FALSE NEGATIVE on sm_103 and must be changed to an IMMA instruction counter,own analysis,paper/evidence_ledger.md,2026-08-11,verified,"Derived from RT-PTX-001: on sm_103 the only PTX-legal integer tensor-core path is legacy warp-level IMMA (mma.m16n8k32 with .s8), so tcgen05 can never appear in a kernel name or instruction mix for INT8 on that architecture",notes/03_risks_and_decision_gates.md Gate 1 step 4 says to verify native INT8 by checking kernel names. Grepping for tcgen05 or sm103 would classify a genuinely native INT8 execution as a fallback - the exact opposite conclusion. Use the Nsight Compute IMMA instruction counter as the sole criterion
COST-VAST-003,Vast.ai offer IDs are not stable referents; the same machine's offer rows are recreated as slices are carved,Vast.ai API,https://console.vast.ai/api/v0/bundles/,2026-08-11,verified,"Three independent observations of Utah machine 144888 on 2026-08-11: at 13:05-13:21 UTC offers 47419089 (2x $15.00 rentable) and 47419091 (4x $30.00); at 14:14-14:27 UTC offers 47419088 (2x $15.00 rentable False) and 47419092 (8x), with 47419089 reported absent; at 15:38:57 UTC offer 47419089 present again as 2x $15.00 rentable True verified, alongside 47419087 (4x $30.00 rentable False) and 47419092 (8x $60.00 rentable False). Five distinct offer ids observed on one machine within ~2.5 hours","PAPER-RELEVANT for the cost appendix: a cloud cost claim must be stated as a filter predicate plus a snapshot timestamp, never as an offer id. Also note the API is GET with a urlencoded q parameter; PUT to the same path returns HTTP 404"
COST-VAST-004,"Live B300 market snapshot: only 3 of 11 offers rentable, and only one rentable slice at or below 4 GPUs",Vast.ai API,https://console.vast.ai/api/v0/bundles/,2026-08-11,dynamic,"Observed 2026-08-11T15:38:57Z, 11 B300 offers total. Rentable: 47419089 (2x $15.00 = $7.50/GPU-h, verified, Utah, 2103 GB disk, bw_nvlink 956.25), 46949777 (8x $70.00 = $8.75/GPU-h, UNVERIFIED, Texas, 38630 GB, bw_nvlink 0.0), 47432001 (8x $80.01 = $10.00/GPU-h, verified, CA, only 1494 GB disk, bw_nvlink 956.25). All 11 offers report gpu_ram 275040 MiB and compute_cap 1030","Snapshot only. The single rentable <=4 GPU slice is the Gate-1 target at $60 for 4 hours. Both rentable 8-GPU options fail a requirement: the cheaper one is unverified with bw_nvlink 0.0, the verified one has only 1494 GB disk which cannot hold 405B BF16 at 811.71 GB plus quantized children"
HW-B300-007,"B300 usable per-GPU memory is ~268.6 GiB (275040 MiB), not the 288 GB assumed in the plan",Vast.ai API,https://console.vast.ai/api/v0/bundles/,2026-08-11,verified,"All 11 live B300 offers report gpu_ram 275040 MiB = 268.6 GiB, and compute_cap 1030 (= cc 10.3, confirming sm_103)",notes/02_hardware_models.md planned 288 GB per GPU and 2.304 TB per node; corrected to ~270 GB and ~2.16 TB. Reconcile NVIDIA marketing capacity against nvidia-smi on the rented node and record both. Affects every model-fit calculation
GATE1-TOOLCHAIN-001,"The complete Gate-1 toolchain is validated on known-answer hardware (sm_89 positive control)",own measurement,"reproducibility/gate1_runbook/control_sm89/step3_control.log",2026-08-12,verified,"RTX 4090 (128 SM, cc 8.9, 2595 MHz): imma_peak attained 688.5 INT8 TOPS (Ada spec dense ~660 TOPS at 2520 MHz boost -> ~100% of clock-adjusted spec) and 178.2 BF16 TFLOPS, ratio 3.86 vs spec 4.0; cublasLt INT8 SUPPORTED at 582.7 TOPS (M=N=K=4096); ncu counters accessible in container with --cap-add=SYS_ADMIN and discriminate cleanly (imma.sum up to 163,840,000 on the s8 kernel, hmma.sum 0). Built with nvidia/cuda:13.0.0-devel-ubuntu24.04","Positive control only (sm_89 is neither Hopper nor Blackwell). Validates that (a) the microbench measures true peak, (b) the IMMA-counter verdict discriminates, (c) the cuBLASLt probe works, so a low B300 number cannot be blamed on the harness. CUDA 13 API lesson: cudaDeviceProp::clockRate was removed; use cudaDeviceGetAttribute(cudaDevAttrClockRate) - caught by this control run, would otherwise have burned B300 rental time"
